File Format = ASCII
Created by Nova, NT-MDT ltd., 31/05/2016 05:12:31 p. m.
File: C:\Users\David\Desktop\Listeria\Mirtala - Listeria - Control.mdt
1D Frame Type = NewCurves
State = Columns
ND = 1
NX = 2000
Scale X = 2.3024
Scale Data = 0.0015
Bias X = -800.0711
Bias Data = 0.0000E+0
Unit X = nm
Unit Data = nA
DataScaleNeeded = No
Start of Data : 
	X1Phys = 320321.3125	Y1Phys = 434408.0312
	FwSize1 = 1000	BkSize1 = 1000
X	Y1F	Y1B
364.9195	-0.2960	-0.2930
367.2218	-0.2960	-0.2945
369.5242	-0.2945	-0.2930
371.8265	-0.2960	-0.2930
374.1289	-0.2945	-0.2930
376.4312	-0.2945	-0.2930
378.7336	-0.2945	-0.2915
381.0359	-0.2945	-0.2915
383.3383	-0.2945	-0.2915
385.6406	-0.2945	-0.2915
387.9430	-0.2930	-0.2915
390.2453	-0.2930	-0.2899
392.5477	-0.2915	-0.2899
394.8501	-0.2915	-0.2899
397.1524	-0.2915	-0.2899
399.4548	-0.2915	-0.2899
401.7571	-0.2915	-0.2899
404.0595	-0.2915	-0.2884
406.3618	-0.2915	-0.2884
408.6642	-0.2915	-0.2884
410.9665	-0.2915	-0.2869
413.2689	-0.2915	-0.2884
415.5712	-0.2899	-0.2869
417.8736	-0.2884	-0.2869
420.1759	-0.2899	-0.2854
422.4783	-0.2884	-0.2854
424.7806	-0.2884	-0.2854
427.0830	-0.2884	-0.2854
429.3853	-0.2884	-0.2854
431.6877	-0.2884	-0.2854
433.9901	-0.2869	-0.2854
436.2924	-0.2869	-0.2838
438.5948	-0.2869	-0.2838
440.8971	-0.2869	-0.2838
443.1995	-0.2869	-0.2823
445.5018	-0.2869	-0.2823
447.8042	-0.2869	-0.2808
450.1065	-0.2854	-0.2808
452.4089	-0.2838	-0.2808
454.7112	-0.2854	-0.2808
457.0136	-0.2854	-0.2793
459.3159	-0.2838	-0.2808
461.6183	-0.2838	-0.2793
463.9206	-0.2823	-0.2793
466.2230	-0.2823	-0.2793
468.5253	-0.2823	-0.2793
470.8277	-0.2823	-0.2793
473.1301	-0.2823	-0.2793
475.4324	-0.2823	-0.2793
477.7348	-0.2808	-0.2777
480.0371	-0.2808	-0.2777
482.3395	-0.2808	-0.2762
484.6418	-0.2808	-0.2777
486.9442	-0.2808	-0.2777
489.2465	-0.2808	-0.2777
491.5489	-0.2808	-0.2762
493.8512	-0.2793	-0.2762
496.1536	-0.2793	-0.2762
498.4559	-0.2793	-0.2762
500.7583	-0.2793	-0.2747
503.0606	-0.2793	-0.2747
505.3630	-0.2777	-0.2747
507.6653	-0.2777	-0.2747
509.9677	-0.2777	-0.2747
512.2701	-0.2777	-0.2747
514.5724	-0.2777	-0.2762
516.8748	-0.2777	-0.2747
519.1771	-0.2777	-0.2747
521.4795	-0.2777	-0.2747
523.7818	-0.2777	-0.2747
526.0842	-0.2777	-0.2747
528.3865	-0.2793	-0.2747
530.6889	-0.2777	-0.2747
532.9912	-0.2777	-0.2747
535.2936	-0.2777	-0.2747
537.5959	-0.2777	-0.2747
539.8983	-0.2777	-0.2732
542.2006	-0.2777	-0.2732
544.5030	-0.2777	-0.2747
546.8053	-0.2777	-0.2747
549.1077	-0.2777	-0.2747
551.4100	-0.2777	-0.2747
553.7124	-0.2777	-0.2747
556.0148	-0.2777	-0.2747
558.3171	-0.2777	-0.2747
560.6195	-0.2777	-0.2732
562.9218	-0.2777	-0.2747
565.2242	-0.2777	-0.2732
567.5265	-0.2777	-0.2732
569.8289	-0.2777	-0.2732
572.1312	-0.2777	-0.2732
574.4336	-0.2777	-0.2732
576.7359	-0.2777	-0.2732
579.0383	-0.2777	-0.2732
581.3406	-0.2777	-0.2747
583.6430	-0.2777	-0.2732
585.9453	-0.2777	-0.2747
588.2477	-0.2777	-0.2747
590.5500	-0.2777	-0.2732
592.8524	-0.2762	-0.2747
595.1548	-0.2762	-0.2747
597.4571	-0.2762	-0.2747
599.7595	-0.2762	-0.2732
602.0618	-0.2777	-0.2732
604.3642	-0.2762	-0.2732
606.6665	-0.2762	-0.2732
608.9689	-0.2762	-0.2732
611.2712	-0.2762	-0.2732
613.5736	-0.2762	-0.2732
615.8759	-0.2747	-0.2732
618.1783	-0.2762	-0.2732
620.4806	-0.2747	-0.2732
622.7830	-0.2747	-0.2732
625.0853	-0.2762	-0.2716
627.3877	-0.2747	-0.2716
629.6900	-0.2747	-0.2716
631.9924	-0.2747	-0.2716
634.2948	-0.2747	-0.2716
636.5971	-0.2747	-0.2716
